Instituo Tecnologico de Queretaro
Leonardo Zuñiga Almaraz

-----------------------------------

Contenido de Prueba.cs: 

Fecha y Hora: 15/02/2022 08:32:34 p. m., Local

-----------------------------------
# = caracter
include = identificador
< = opRelacional
stdio = identificador
. = caracter
h = identificador
> = opRelacional
# = caracter
include = identificador
< = opRelacional
conio = identificador
. = caracter
h = identificador
> = opRelacional
# = caracter
include = identificador
< = opRelacional
math = identificador
. = caracter
h = identificador
> = opRelacional
# = caracter
include = identificador
< = opRelacional
stdlib = identificador
> = opRelacional
# = caracter
include = identificador
< = opRelacional
graphics = identificador
. = caracter
h = identificador
> = opRelacional
float = tipoDato
volumen = identificador
, = caracter
radio = identificador
, = caracter
altura = identificador
; = finSentencia
void = identificador
main = identificador
( = caracter
) = caracter
{ = caracter
printf = identificador
( = caracter
"\nIngrese el radio del cilindro" = Cadena
) = caracter
; = finSentencia
scanf = identificador
( = caracter
"%f %f %f" = Cadena
, = caracter
& = caracter
radio = identificador
, = caracter
& = caracter
radio = identificador
, = caracter
& = caracter
radio = identificador
) = caracter
; = finSentencia
printf = identificador
( = caracter
"\nIngrese la altura" = Cadena
) = caracter
; = finSentencia
scanf = identificador
( = caracter
"%f" = Cadena
, = caracter
& = caracter
altura = identificador
) = caracter
; = finSentencia
printf = identificador
( = caracter
"\nAltura = %f Radio = %f" = Cadena
, = caracter
altura = identificador
, = caracter
radio = identificador
) = caracter
; = finSentencia
if = condicion
( = caracter
altura = identificador
> = opRelacional
100 = numero
) = caracter
{ = caracter
for = ciclo
( = caracter
i = identificador
= = asignacion
0 = numero
; = finSentencia
i = identificador
< = opRelacional
100 = numero
; = finSentencia
i = identificador
++ = incTermino
) = caracter
{ = caracter
if = condicion
( = caracter
i = identificador
== = opRelacional
5 = numero
) = caracter
{ = caracter
printf = identificador
( = caracter
"\ni es igual a 5" = Cadena
) = caracter
; = finSentencia
} = caracter
} = caracter
printf = identificador
( = caracter
"\nMayor que 100" = Cadena
) = caracter
; = finSentencia
} = caracter
else = condicion
if = condicion
( = caracter
altura = identificador
< = opRelacional
0 = numero
) = caracter
{ = caracter
while = ciclo
( = caracter
i = identificador
< = opRelacional
100 = numero
) = caracter
switch = condicion
( = caracter
d = identificador
) = caracter
{ = caracter
case = identificador
1 = numero
: = caracter
if = condicion
( = caracter
i = identificador
== = opRelacional
1 = numero
) = caracter
{ = caracter
printf = identificador
( = caracter
"\ni es igual a 1" = Cadena
) = caracter
; = finSentencia
} = caracter
break = identificador
; = finSentencia
case = identificador
2 = numero
: = caracter
case = identificador
3 = numero
: = caracter
if = condicion
( = caracter
i = identificador
== = opRelacional
2 = numero
) = caracter
{ = caracter
printf = identificador
( = caracter
"\ni es igual a 2" = Cadena
) = caracter
; = finSentencia
} = caracter
break = identificador
; = finSentencia
default = identificador
: = caracter
printf = identificador
( = caracter
"\nError" = Cadena
) = caracter
; = finSentencia
} = caracter
printf = identificador
( = caracter
"\nNegativa" = Cadena
) = caracter
; = finSentencia
} = caracter
else = condicion
{ = caracter
printf = identificador
( = caracter
"\nPositiva" = Cadena
) = caracter
; = finSentencia
} = caracter
} = caracter
Lista de Variables
volumen FLOAT 0
radio FLOAT 200
altura FLOAT 100
